Criteria,Age,Noise level,Time exposure,Earplugs
232,3,1,19.5,Negative
227,13,1,21,Negative
211,30,1,39,Negative
313,74,1,94.5,Negative
226,6,4,5.5,Negative
363,46,5,42,Negative
347,59,5,48,Negative
388,20,9,18,Negative
223,57,9,160,Negative
380,87,9,185.75,Negative
264,58,10,89,Negative
351,66,10,56.5,Negative
205,64,11,161,Negative
236,2,12,44.5,Negative
353,5,12,32,Negative
206,1,13,71,Negative
350,62,16,295,Negative
317,92,17,9.25,Negative
293,30,18,173,Negative
266,66,19,100,Negative
328,38,20,277,Negative
369,57,20,3,Negative
300,64,20,176,Negative
218,56,23,88,Negative
239,56,23,88,Negative
346,45,24,244,Negative
276,68,24,46.5,Negative
241,72,24,109.5,Negative
377,89,24,21.25,Negative
246,67,25,43,Negative
349,71,25,50,Negative
207,6,29,59.5,Negative
228,6,29,59.5,Negative
277,58,30,94,Negative
310,73,30,81,Negative
261,81,30,60,Negative
341,55,32,243,Negative
271,21,33,300,Negative
312,37,33,220,Negative
339,73,34,52,Negative
386,90,35,19,Negative
323,18,36,7,Negative
326,37,36,136,Negative
254,18,37,115,Negative
243,36,38,172,Negative
249,54,38,125,Negative
298,76,38,36.5,Negative
321,49,39,199,Negative
213,59,41,111,Negative
234,59,41,111,Negative
260,40,42,65,Negative
288,16,43,233,Negative
244,64,44,299,Negative
274,64,44,283,Negative
272,63,45,254,Negative
357,1,47,2,Negative
247,9,47,101,Negative
332,91,48,70,Negative
306,43,50,226,Negative
219,94,50,94.5,Negative
289,56,51,20,Negative
327,11,52,128.5,Negative
269,98,52,20.125,Negative
297,47,58,72,Negative
334,1,60,11,Negative
381,11,60,122.5,Negative
389,52,61,87,Negative
299,56,62,259,Negative
259,88,62,25,Negative
302,93,62,2.25,Negative
303,53,64,279,Negative
383,29,65,65,Negative
345,6,66,60,Negative
397,21,66,13,Negative
337,12,68,3.5,Negative
291,29,70,63,Negative
366,34,70,5,Negative
255,54,71,186,Negative
265,99,72,15.75,Negative
212,84,73,91.5,Negative
233,84,73,91.5,Negative
216,26,75,64,Negative
237,26,75,64,Negative
60,59,75,120,Negative
118,59,75,120,Negative
250,34,76,11,Negative
316,68,76,73.5,Negative
79,21,79,180,Negative
196,21,79,180,Negative
58,18,80,120,Negative
111,18,80,120,Negative
54,19,80,60,Negative
192,19,80,60,Negative
73,33,80,180,Negative
123,33,80,180,Negative
82,37,80,240,Negative
148,37,80,240,Negative
71,51,80,180,Negative
74,51,80,180,Negative
106,51,80,180,Negative
133,51,80,180,Negative
98,61,80,450,Recommended
178,61,80,450,Recommended
51,15,81,60,Negative
181,15,81,60,Negative
70,32,81,120,Negative
198,32,81,120,Negative
88,36,81,300,Negative
157,36,81,300,Negative
99,62,81,480,Recommended
169,62,81,480,Recommended
375,9,82,4,Negative
49,16,82,60,Negative
172,16,82,60,Negative
281,18,82,2,Negative
78,26,82,180,Negative
187,26,82,180,Negative
